date,capacity,turnover,open,high,low,close,change,transaction
2019-01-02,8532073,636107101,75.85,75.9,73.95,74.05,-1.45,4102
2019-01-03,13347147,981181870,73.8,74.0,73.25,73.35,-0.7,5208
2019-01-04,21292465,1540084560,72.8,72.8,72.0,72.2,-1.15,8826
2019-01-07,14605638,1077319115,73.55,74.05,73.25,73.95,1.75,4891
2019-01-08,11006700,811364720,74.15,74.15,73.55,73.65,-0.3,2869
2019-01-09,11430523,855269355,73.95,75.15,73.95,75.0,1.35,5277
2019-01-10,2823283,210937625,74.8,74.9,74.5,74.8,-0.2,1231
2019-01-11,10362915,782200792,75.3,75.75,75.15,75.5,0.7,3660
2019-01-14,5298405,397504723,75.45,75.45,74.75,75.0,-0.5,2018
2019-01-15,11836450,894286699,75.05,75.8,75.05,75.65,0.65,5250
2019-01-16,15342503,1159613447,75.65,75.7,75.35,75.55,-0.1,5360
2019-01-17,10020739,756877394,75.6,75.9,75.15,75.55,0.0,3137
2019-01-18,8293491,629378860,75.75,76.1,75.4,75.95,0.4,5013
2019-01-21,10454756,799923534,76.35,76.7,76.25,76.5,0.55,3895
2019-01-22,8838931,653814320,74.4,74.4,73.8,74.05,0.0,4742
2019-01-23,6407442,472728408,74.0,74.0,73.65,73.7,-0.35,3167
2019-01-24,3500506,258832935,73.95,74.15,73.75,74.05,0.35,1363
2019-01-25,7320778,548115919,74.6,75.1,74.55,75.0,0.95,3322
2019-01-28,3825143,287814225,75.15,75.45,75.05,75.15,0.15,1795
2019-01-29,4419790,328663492,74.5,74.55,74.2,74.5,-0.65,2251
2019-01-30,5255229,390864071,74.5,74.65,74.2,74.35,-0.15,1833
2019-02-11,6614900,497844612,75.35,75.65,74.85,75.15,0.8,3137
2019-02-12,6164150,465816739,75.35,75.75,75.35,75.65,0.5,2980
2019-02-13,4157700,314193830,75.95,75.95,75.4,75.5,-0.15,1837
2019-02-14,3641542,274887735,75.5,75.75,75.25,75.25,-0.25,1593
2019-02-15,3516111,264409753,75.3,75.6,74.9,75.05,-0.2,1796
2019-02-18,6596163,499575240,75.5,75.9,75.5,75.65,0.6,3143
2019-02-19,2862069,216303714,75.7,75.7,75.5,75.5,-0.15,2168
2019-02-20,34307853,2619961938,75.9,76.5,75.9,76.35,0.85,9607
2019-02-21,18664815,1433791393,76.4,77.1,76.4,77.1,0.75,4467
2019-02-22,9881017,758887009,76.95,76.95,76.5,76.95,-0.15,6936
2019-02-25,19365354,1501862131,77.35,77.75,77.3,77.5,0.55,4458
2019-02-26,15903051,1234156605,77.65,77.8,77.3,77.7,0.2,5707
2019-02-27,12907489,1000792293,77.7,77.7,77.35,77.65,-0.05,3460
2019-03-04,8469570,652787218,77.55,77.55,76.7,76.95,-0.7,4887
2019-03-05,9400493,720525122,76.6,76.9,76.45,76.75,-0.2,2830
2019-03-06,19579792,1505450934,76.85,77.05,76.75,76.95,0.2,3193
2019-03-07,18239770,1399918017,76.9,77.05,76.6,76.65,-0.3,1946
2019-03-08,9975200,758523703,76.2,76.35,75.8,76.0,-0.65,2853
2019-03-11,4642390,352680831,75.85,76.15,75.7,76.15,0.15,2280
2019-03-12,13857468,1070170012,76.85,77.45,76.8,77.25,1.1,3796
2019-03-13,10148529,781685019,77.05,77.2,76.8,77.1,-0.15,1763
2019-03-14,5208756,402155617,77.3,77.4,76.95,77.05,-0.05,1343
2019-03-15,11483751,890275774,77.35,77.7,77.15,77.6,0.55,3164
